subject,skill,prerequisite,level,duration_weeks
AI Engineer,Python,None,Beginner,2
AI Engineer,Git & GitHub,Python,Beginner,1
AI Engineer,Mathematics,Python,Beginner,3
AI Engineer,Data Structures,Python,Intermediate,3
AI Engineer,Machine Learning,Mathematics,Intermediate,4
AI Engineer,Deep Learning,Machine Learning,Advanced,4
AI Engineer,Computer Vision,Deep Learning,Advanced,3
AI Engineer,NLP,Deep Learning,Advanced,3
AI Engineer,Transformers,NLP,Advanced,3
AI Engineer,LLMs (GPT-like Models),Transformers,Advanced,3
AI Engineer,MLOps,Machine Learning,Advanced,3
AI Engineer,CloudAI,MLOps,Advanced,2
AI Engineer,Projects,Machine Learning,Intermediate,3
Data Scientist,Python,None,Beginner,2
Data Scientist,Git & GitHub,Python,Beginner,1
Data Scientist,Statistics,Python,Beginner,3
Data Scientist,SQL,Python,Beginner,2
Data Scientist,Data Cleaning,Statistics,Intermediate,2
Data Scientist,Exploratory Data Analysis,Data Cleaning,Intermediate,2
Data Scientist,Data Analysis,Statistics,Intermediate,3
Data Scientist,Machine Learning,Data Analysis,Intermediate,4
Data Scientist,Visualization,Data Analysis,Intermediate,2
Data Scientist,Big Data (Spark),Machine Learning,Advanced,3
Data Scientist,Experimentation (A/B Testing),Statistics,Intermediate,2
Data Scientist,Time Series Analysis,Statistics,Advanced,3
Data Scientist,Projects,Machine Learning,Intermediate,3
Frontend Developer,HTML,None,Beginner,1
Frontend Developer,CSS,HTML,Beginner,2
Frontend Developer,JavaScript,CSS,Intermediate,3
Frontend Developer,Git & GitHub,JavaScript,Beginner,1
Frontend Developer,Responsive Design,CSS,Intermediate,2
Frontend Developer,TypeScript,JavaScript,Intermediate,2
Frontend Developer,React,JavaScript,Intermediate,4
Frontend Developer,Next.js,React,Intermediate,3
Frontend Developer,State Management (Redux),React,Intermediate,2
Frontend Developer,Testing (Jest),JavaScript,Intermediate,2
Frontend Developer,Web Security Basics,JavaScript,Intermediate,2
Frontend Developer,Performance Optimization,React,Advanced,2
Frontend Developer,UI/UX,HTML,Beginner,2
Frontend Developer,Projects,Next.js,Intermediate,3
Backend Developer,Programming Fundamentals,None,Beginner,2
Backend Developer,Python/Node.js,Programming Fundamentals,Beginner,3
Backend Developer,Git & GitHub,Programming Fundamentals,Beginner,1
Backend Developer,Databases (SQL),Programming Fundamentals,Beginner,3
Backend Developer,NoSQL Databases,Databases (SQL),Intermediate,2
Backend Developer,APIs (REST),Python/Node.js,Intermediate,3
